,Sparsity,Proximity,Constraint_Violation,Redundancy,y-Nearest-Neighbours-Probability,y-Nearest-Neighbours-Distance,Time_taken,y-Nearest-Neighbours-Manifold-Distance,Sphere-Manifold-Distance,Success_Rate,Average_Time,y-Nearest-Neighbours
0,10.0,4.3560666677335735,2.0,5.0,0.19999999999999996,7.0,1.5831717920009396,1.2185005656709116,,0.838,1.253820980784003,0.17565632458233893
1,12.0,6.776123329509129,2.0,7.0,0.19999999999999996,7.0,1.5534215189982206,1.2190619751145284,,,,
2,8.0,2.409635786061581,2.0,3.0,0.0,7.0,1.4434508729973459,1.2200660518909974,,,,
3,11.0,5.7755771788836325,2.0,7.0,0.19999999999999996,7.0,1.5334759460019995,1.2224492351748113,,,,
4,11.0,5.296460944724331,1.0,7.0,0.19999999999999996,7.0,1.470045788999414,1.217299315266792,,,,
5,9.0,4.06941579662227,1.0,3.0,0.19999999999999996,7.0,0.018991261997143738,1.2208844023980263,,,,
6,11.0,5.644213243746574,2.0,8.0,0.19999999999999996,7.0,1.6652627250005025,1.2190832636584679,,,,
7,13.0,7.218788050043381,2.0,11.0,0.19999999999999996,7.0,1.677420936000999,1.218456933949149,,,,
8,8.0,2.403473121749183,1.0,2.0,0.19999999999999996,7.0,0.019296008998935577,1.2216122451461915,,,,
9,9.0,3.2392435995208584,2.0,5.0,0.19999999999999996,7.0,0.021077127996250056,1.2203538871635837,,,,
10,10.0,4.353290561103178,2.0,8.0,0.19999999999999996,7.0,0.02110122500016587,1.2172702918464713,,,,
11,12.0,6.751161283486469,2.0,8.0,0.19999999999999996,7.0,1.666540824000549,1.2201451889504833,,,,
12,9.0,3.3945743698676027,2.0,3.0,0.19999999999999996,7.0,1.5684878070023842,1.2193298238553172,,,,
13,9.0,3.359356181761669,2.0,7.0,0.19999999999999996,7.0,1.6218641560044489,1.220408536050475,,,,
14,10.0,4.777410005098131,2.0,6.0,0.19999999999999996,7.0,1.5646640979975928,1.2192596192695264,,,,
15,8.0,2.5342312173380916,1.0,6.0,0.19999999999999996,7.0,1.4258876589956344,1.2187599874367159,,,,
16,8.0,2.8566620482904774,1.0,3.0,0.19999999999999996,7.0,1.4473113839994767,1.2206611744393747,,,,
17,12.0,6.7267707487611546,2.0,7.0,0.19999999999999996,7.0,1.5194617849992937,1.2230088520087365,,,,
18,10.0,5.063488183768102,2.0,6.0,0.19999999999999996,7.0,1.5587566850008443,1.219957614246762,,,,
19,7.0,1.7330208646588179,1.0,2.0,0.0,7.0,1.5195282349959598,1.2262669601799638,,,,
20,10.0,4.539892542430185,2.0,8.0,0.19999999999999996,7.0,0.01864373200078262,1.2214340827693384,,,,
21,8.0,2.459192050829408,2.0,1.0,0.19999999999999996,7.0,1.456122971001605,1.2204516890682342,,,,
22,9.0,3.9336499237881943,2.0,4.0,0.19999999999999996,7.0,1.4980076479987474,1.2200887362176946,,,,
23,10.0,4.54071259697303,2.0,6.0,0.0,7.0,1.49143191499752,1.2221208698655648,,,,
24,9.0,3.346850142621224,2.0,4.0,0.0,7.0,1.512507153005572,1.220638028493075,,,,
25,9.0,3.4364166666615743,2.0,3.0,0.19999999999999996,7.0,1.5207931400000234,1.2224436710292867,,,,
26,9.0,3.7635725605375168,2.0,6.0,0.19999999999999996,7.0,1.5347599769957014,1.2196585401226918,,,,
27,11.0,5.325733847801214,2.0,5.0,0.19999999999999996,7.0,1.544615340004384,1.2185401442684296,,,,
28,12.0,6.632630096390049,2.0,6.0,0.19999999999999996,7.0,1.4153335410010186,1.2210093426741722,,,,
29,10.0,4.7183578027275015,2.0,6.0,0.19999999999999996,7.0,1.5325477949954802,1.2193293149806623,,,,
30,9.0,3.3527755876384155,2.0,4.0,0.19999999999999996,7.0,1.4972607620002236,1.2190761903936438,,,,
31,9.0,3.7983850743613585,1.0,3.0,0.19999999999999996,7.0,1.4587116480033728,1.2178188028449588,,,,
32,9.0,3.324061926164611,2.0,5.0,0.19999999999999996,7.0,1.5813342289984575,1.220669602904475,,,,
33,11.0,5.809572068529057,2.0,7.0,0.19999999999999996,7.0,1.480286095997144,1.217425041579191,,,,
34,10.0,4.387393165333341,2.0,6.0,0.19999999999999996,7.0,1.4636249729956035,1.2188191346158428,,,,
35,8.0,2.6261764244599126,1.0,3.0,0.19999999999999996,7.0,1.5231795840009,1.2215008954741124,,,,
36,8.0,2.438483706545506,2.0,1.0,0.19999999999999996,7.0,1.5403434629988624,1.2208508158738187,,,,
37,11.0,5.64871885014982,2.0,8.0,0.19999999999999996,7.0,1.41991656999744,1.2207005980648162,,,,
38,8.0,2.4971882991445753,1.0,4.0,0.19999999999999996,7.0,1.478246834994934,1.2225678342098765,,,,
39,11.0,5.359528368850661,2.0,6.0,0.0,7.0,0.018952685997646768,1.2208164013530298,,,,
40,9.0,3.2443898168920224,1.0,5.0,0.19999999999999996,7.0,1.5412298869996448,1.2188227373398903,,,,
41,10.0,4.404295060646719,1.0,4.0,0.19999999999999996,7.0,0.018502304003050085,1.222577292773879,,,,
42,7.0,1.539110539026906,1.0,1.0,0.19999999999999996,7.0,1.541758426996239,1.2217354926504258,,,,
43,9.0,3.6300324100123493,2.0,6.0,0.19999999999999996,7.0,1.5507350350017077,1.218987938695137,,,,
44,10.0,4.792276729846741,2.0,4.0,0.19999999999999996,7.0,1.5127813080034684,1.2179254572130802,,,,
45,9.0,3.421153966465753,2.0,6.0,0.19999999999999996,7.0,0.01991928499774076,1.2203371084560795,,,,
46,12.0,6.9283240675474795,2.0,8.0,0.19999999999999996,7.0,1.5022942979994696,1.2212556596137647,,,,
47,11.0,5.329469055804999,2.0,6.0,0.19999999999999996,7.0,1.4292993019989808,1.2237034278626018,,,,
48,11.0,5.541125857216082,2.0,6.0,0.0,7.0,1.4675835720045143,1.219822604915051,,,,
49,8.0,2.710255782228427,2.0,3.0,0.19999999999999996,7.0,1.5777762139987317,1.2181890099574963,,,,
50,10.0,4.555794329136477,2.0,5.0,0.0,7.0,1.4830961379993823,1.2219163536633535,,,,
51,8.0,2.48945681309885,2.0,1.0,0.0,7.0,1.4805046600013156,1.2207013465072198,,,,
52,10.0,4.388690183570255,2.0,6.0,0.0,7.0,0.019484567994368263,1.2204215146209283,,,,
53,8.0,2.2608595053203575,1.0,2.0,0.19999999999999996,7.0,1.5646169679966988,1.2225461187996034,,,,
54,8.0,2.6204077494762847,1.0,5.0,0.19999999999999996,7.0,1.631344249995891,1.218776005439941,,,,
55,11.0,5.607076408966257,2.0,8.0,0.19999999999999996,7.0,1.5040684740015422,1.224780212644494,,,,
56,10.0,4.29073857228725,2.0,4.0,0.19999999999999996,7.0,1.4950348999991547,1.2219302821196678,,,,
57,9.0,3.5048900119385697,2.0,1.0,0.19999999999999996,7.0,1.5198805179970805,1.2198621853520315,,,,
58,8.0,2.262161450761993,1.0,5.0,0.19999999999999996,7.0,1.5185739689986804,1.220563007079546,,,,
59,10.0,4.527251042572017,2.0,8.0,0.19999999999999996,7.0,0.01857973499863874,1.2180192462434212,,,,
60,9.0,3.3238553299979507,2.0,3.0,0.19999999999999996,7.0,0.01919666300091194,1.2192689905578664,,,,
61,10.0,5.124263973541661,2.0,3.0,0.19999999999999996,7.0,1.4202908869992825,1.2201686138922743,,,,
62,9.0,3.335466875776115,2.0,3.0,0.19999999999999996,7.0,1.4854787180011044,1.2210031810440185,,,,
63,11.0,5.36003045793316,2.0,7.0,0.19999999999999996,7.0,0.020657945002312772,1.220086324148361,,,,
64,11.0,6.355183670255056,2.0,6.0,0.19999999999999996,7.0,1.5681460260020685,1.2193157932986658,,,,
65,7.0,1.8156362040148286,1.0,1.0,0.19999999999999996,7.0,1.4612571870020474,1.219400716077762,,,,
66,11.0,5.664453695915563,1.0,6.0,0.0,7.0,1.5175554340021336,1.2249613705285556,,,,
67,8.0,2.701728376938555,2.0,1.0,0.0,7.0,1.3999664340008167,1.2213292829300446,,,,
68,11.0,5.525932533870253,2.0,8.0,0.19999999999999996,7.0,1.501062950999767,1.2195981568922443,,,,
69,8.0,2.6114813475484535,1.0,3.0,0.19999999999999996,7.0,1.4185656780027784,1.2164037413229387,,,,
70,10.0,4.797498351557481,2.0,5.0,0.19999999999999996,7.0,1.5826055630022893,1.2179766533764624,,,,
