,Sparsity,Proximity,Constraint_Violation,Redundancy,y-Nearest-Neighbours-Probability,y-Nearest-Neighbours-Distance,Time_taken,y-Nearest-Neighbours-Manifold-Distance,Sphere-Manifold-Distance,Success_Rate,Average_Time,y-Nearest-Neighbours
80,8.0,2.6555805392572047,1.0,7.0,1.0,6.0,1.6727674629946705,0.4319712339541907,0.316321413828704,,,
81,6.0,0.7449658914819264,1.0,5.0,1.0,6.0,1.6851110339994193,0.30212003261907383,0.3021523891719499,,,
82,10.0,4.603515541390735,2.0,11.0,1.0,6.0,1.669602654998016,0.4319712339541907,0.316321413828704,,,
83,9.0,3.709104315090369,1.0,9.0,1.0,6.0,1.7105519599936088,0.4319712339541907,0.316321413828704,,,
84,9.0,4.043942156788516,2.0,9.0,1.0,6.0,1.6912954560029902,0.619480212380524,0.3811582031401806,,,
85,8.0,2.765478689357038,2.0,7.0,1.0,6.0,1.7247870520004653,0.4319712339541907,0.316321413828704,,,
86,7.0,1.658415639456736,1.0,5.0,1.0,6.0,1.6885818709997693,0.4319712339541907,0.316321413828704,,,
87,7.0,1.8329582110117706,1.0,5.0,1.0,6.0,1.6751403419984854,0.4319712339541907,0.316321413828704,,,
88,10.0,4.682113283056279,2.0,11.0,1.0,6.0,1.7533080330031225,0.4319712339541907,0.316321413828704,,,
89,7.0,1.688647391250498,1.0,5.0,1.0,6.0,1.70960301499872,0.5855005646030905,0.3887547863847234,,,
90,7.0,1.7143078630517985,1.0,5.0,0.0,6.0,1.69908469299844,0.522238378990804,0.34772650342566164,,,
91,9.0,3.896560974595561,2.0,9.0,1.0,6.0,1.7147892480061273,0.4319712339541907,0.316321413828704,,,
92,8.0,2.5212483285507226,2.0,7.0,0.8,6.0,1.6935108159959782,0.44157905398376474,0.3580663917855223,,,
93,7.0,2.1976789325595023,1.0,5.0,0.19999999999999996,6.0,1.6647881669996423,0.39989417502584795,0.32901051392821773,,,
94,8.0,2.7219394554230703,1.0,8.0,0.6,6.0,1.6837340819984092,0.5026905660351908,0.36866410763716373,,,
95,7.0,2.313353213003646,1.0,8.0,1.0,6.0,1.6923780990036903,0.7805420137235423,0.4494878973129107,,,
96,7.0,1.7380360837979887,1.0,6.0,0.6,6.0,1.6936212699947646,0.5026914213618433,0.3686647615039125,,,
97,7.0,1.744643198660229,1.0,5.0,1.0,6.0,1.6696620610018726,0.4319712339541907,0.316321413828704,,,
98,8.0,2.7596380405002634,2.0,7.0,1.0,6.0,1.7598723909977707,0.4319712339541907,0.316321413828704,,,
99,9.0,3.702627016898812,1.0,9.0,1.0,6.0,1.7217257650045212,0.632714283148949,0.36607060674837666,,,
100,8.0,2.9068534682458096,1.0,7.0,1.0,6.0,1.679799510005978,0.4319712339541907,0.316321413828704,,,
101,8.0,2.865227708144536,2.0,7.0,0.8,6.0,1.7142940890043974,0.7110151986349984,0.3820258740970843,,,
102,6.0,0.8076310559709468,1.0,6.0,1.0,6.0,1.7301367410036619,0.5354069734624906,0.38576020755351054,,,
103,10.0,4.586753583209024,1.0,11.0,1.0,6.0,1.7049938920026761,0.4319712339541907,0.316321413828704,,,
104,7.0,1.639590215652494,1.0,5.0,1.0,6.0,1.6899586049985373,0.4319712339541907,0.316321413828704,,,
105,8.0,2.765268347553322,2.0,7.0,1.0,6.0,1.8017753540043486,0.4319712339541907,0.316321413828704,,,
106,7.0,2.3887203260502208,1.0,5.0,0.8,6.0,1.696114457998192,0.8706195208186607,0.41234258402451296,,,
107,10.0,4.547188871633624,0.0,11.0,1.0,6.0,1.6865440530018532,0.4319712339541907,0.316321413828704,,,
108,9.0,3.6000888277182077,2.0,9.0,1.0,6.0,1.6748216230043909,0.4319712339541907,0.316321413828704,,,
109,8.0,2.8218291184035946,1.0,7.0,0.19999999999999996,6.0,1.6943648899978143,0.3998937786549602,0.32901046324295224,,,
110,10.0,4.636911545269957,2.0,11.0,1.0,6.0,1.68428120000317,0.4319712339541907,0.316321413828704,,,
111,7.0,1.9156499283607389,1.0,5.0,1.0,6.0,1.6890425959936692,0.4847717324794573,0.3517724015865612,,,
112,7.0,1.814060106499313,1.0,6.0,0.19999999999999996,6.0,1.6946644380004727,0.3331396605161663,0.32582253169259934,,,
113,8.0,2.9221681770007666,1.0,7.0,0.19999999999999996,6.0,1.6866330729972105,0.3331398035673137,0.32582260071227365,,,
114,8.0,2.699682012647499,2.0,7.0,1.0,6.0,1.6735394930001348,0.4319712339541907,0.316321413828704,,,
115,8.0,2.968199189392165,1.0,7.0,1.0,6.0,1.6710404659970663,0.4319712339541907,0.316321413828704,,,
116,7.0,1.6372615270921989,2.0,7.0,1.0,6.0,1.675796455994714,0.6524836817086266,0.3939700036210681,,,
117,7.0,1.8924464057282833,1.0,5.0,1.0,6.0,1.675211620000482,0.4319712339541907,0.316321413828704,,,
118,9.0,3.7818193689998556,2.0,9.0,1.0,6.0,1.673533198001678,0.4319712339541907,0.316321413828704,,,
119,7.0,2.0096462474153496,1.0,5.0,1.0,6.0,1.6803743120035506,0.3707588572590734,0.3222165709002027,,,
120,8.0,2.722501886578687,2.0,7.0,1.0,6.0,1.6916223840016755,0.4319712339541907,0.316321413828704,,,
121,7.0,2.2518590320672853,1.0,5.0,0.19999999999999996,6.0,1.6871425789940986,0.3599779536257685,0.3551472752644633,,,
122,8.0,2.565114009633156,2.0,7.0,1.0,6.0,1.700210129005427,0.4319712339541907,0.316321413828704,,,
123,11.0,5.6479933627177425,2.0,13.0,1.0,6.0,1.6761588810040848,0.4319712339541907,0.316321413828704,,,
124,9.0,3.6470507527018787,2.0,9.0,1.0,6.0,1.7223518190003233,0.4319712339541907,0.316321413828704,,,
125,11.0,5.609270388774936,2.0,13.0,1.0,6.0,1.6686179059979622,0.4319712339541907,0.316321413828704,,,
126,7.0,1.8369493950019617,1.0,5.0,1.0,6.0,1.6789809110050555,0.5921923984083469,0.3623999701975813,,,
127,6.0,0.8195648321887129,1.0,5.0,1.0,6.0,1.809063412998512,0.4319712339541907,0.316321413828704,,,
128,7.0,1.797891034749047,1.0,6.0,0.6,6.0,1.7057699599972693,0.5026914213618433,0.3686647615039125,,,
129,7.0,1.7474724194070188,1.0,5.0,0.0,6.0,1.8126894849992823,0.522238378990804,0.34772650342566164,,,
130,9.0,4.588945815674281,1.0,9.0,0.19999999999999996,6.0,1.673540461997618,0.8455295106625708,0.38310854885861123,,,
131,7.0,1.6760750369901392,1.0,5.0,1.0,6.0,1.679765654997027,0.6035848335186587,0.3274623368004364,,,
132,8.0,2.6893812202587384,1.0,7.0,1.0,6.0,1.6827769820010872,0.4319712339541907,0.316321413828704,,,
133,7.0,1.9839491059942285,1.0,5.0,0.3999999999999999,6.0,1.6824762390024262,1.1024396176097075,0.41783362410268066,,,
134,8.0,2.8072563903987993,2.0,7.0,1.0,6.0,1.6866957969978102,0.4319712339541907,0.316321413828704,,,
135,10.0,4.640243459456123,1.0,8.0,0.19999999999999996,6.0,1.6781304889955209,0.3633741428667073,0.31095059088309557,,,
136,10.0,4.917196505385238,2.0,11.0,0.19999999999999996,6.0,1.6889361089997692,0.7784341121880348,0.4013248517163312,,,
137,7.0,2.090498915759932,1.0,8.0,1.0,6.0,1.783218463002413,0.7650200652710892,,,,
138,9.0,3.559058071909205,2.0,9.0,1.0,6.0,1.7033946749943425,0.4319712339541907,0.316321413828704,,,
139,8.0,2.671604331288593,1.0,7.0,1.0,6.0,1.7053571900032694,0.3853875175628988,0.321579749502555,,,
140,8.0,2.6711933301900737,1.0,7.0,1.0,6.0,1.6753408840013435,0.4319712339541907,0.316321413828704,,,
141,7.0,2.239833867722481,1.0,5.0,1.0,6.0,1.7104294540040428,0.4319712339541907,0.316321413828704,,,
142,9.0,3.8653354594422287,2.0,9.0,1.0,6.0,1.6809695850024582,0.5762989266362384,0.37826184361903176,,,
143,7.0,1.8212050135417117,1.0,5.0,1.0,6.0,1.6963170589951915,0.4319712339541907,0.316321413828704,,,
144,10.0,4.713778242856291,1.0,11.0,1.0,6.0,1.704912298002455,0.4319712339541907,0.316321413828704,,,
145,7.0,1.575920358357145,1.0,5.0,0.0,6.0,1.6988580760007608,0.5222383104454625,0.3477265148439463,,,
146,8.0,2.9336388372766615,2.0,7.0,1.0,6.0,1.7063302580063464,0.4319712339541907,0.316321413828704,,,
147,8.0,2.902781165358613,1.0,7.0,1.0,6.0,1.6780511520046275,0.4319712339541907,0.316321413828704,,,
148,8.0,2.8402657596533,1.0,7.0,1.0,6.0,1.7040937040001154,0.4319712339541907,0.316321413828704,,,
149,7.0,2.142300433807527,1.0,5.0,1.0,6.0,1.6961477509976248,0.4319712339541907,0.316321413828704,,,
150,11.0,5.603741425585115,1.0,15.0,1.0,6.0,1.6830815009961952,0.4319712339541907,0.316321413828704,,,
151,9.0,3.524466292777566,2.0,9.0,1.0,6.0,1.6944170909991954,0.4319712339541907,0.316321413828704,,,
152,8.0,2.9414140628347503,1.0,7.0,1.0,6.0,1.7068296040015412,0.4319712339541907,0.316321413828704,,,
153,10.0,4.999592753130925,1.0,13.0,1.0,6.0,1.6866556020031567,0.4319712339541907,0.316321413828704,,,
154,7.0,2.9709926007798133,1.0,8.0,1.0,6.0,1.6842506839966518,1.204514034142386,,,,
155,11.0,5.718660201222461,1.0,13.0,1.0,6.0,1.7133248219979578,0.4319712339541907,0.316321413828704,,,
156,10.0,4.555371753664799,2.0,11.0,1.0,6.0,1.7010873350009206,0.4319712339541907,0.316321413828704,,,
157,9.0,4.049988306181215,2.0,9.0,1.0,6.0,1.709659890999319,0.619480212380524,0.3811582031401806,,,
158,10.0,4.618973824133845,1.0,11.0,1.0,6.0,1.6843239910012926,0.4319712339541907,0.316321413828704,,,
159,10.0,4.69124522123059,1.0,11.0,1.0,6.0,1.7247601019989816,0.4319712339541907,0.316321413828704,,,
160,9.0,3.6189600531122803,1.0,8.0,0.19999999999999996,6.0,1.701930782001,0.35997819800481207,0.3551474352710135,,,
161,7.0,1.772906277431462,1.0,6.0,0.6,6.0,1.7055874999932712,0.5026914213618433,0.3686647615039125,,,
162,8.0,3.135327906027162,1.0,7.0,1.0,6.0,1.6944270000021788,0.5338841206974767,0.39607851395145816,,,
163,9.0,4.197197160480872,1.0,9.0,1.0,6.0,1.727938585994707,0.4319712339541907,0.316321413828704,,,
164,7.0,1.4986039503834767,1.0,5.0,1.0,6.0,1.6860029579984257,0.4319712339541907,0.316321413828704,,,
165,8.0,2.774612114984457,1.0,7.0,1.0,6.0,1.6889810249995207,0.4319712339541907,0.316321413828704,,,
166,9.0,4.034281203205486,2.0,9.0,1.0,6.0,1.6822323209999013,0.4319712339541907,0.316321413828704,,,
167,9.0,3.8339051316060724,1.0,9.0,1.0,6.0,1.6834831070009386,0.4319712339541907,0.316321413828704,,,
168,10.0,4.586526126990691,2.0,11.0,1.0,6.0,1.6979600330014364,0.4319712339541907,0.316321413828704,,,
169,9.0,3.6092422504409107,2.0,9.0,0.8,6.0,1.6911086250038352,0.5283300469775506,0.370835477788411,,,
170,8.0,2.9460801082015746,2.0,7.0,1.0,6.0,1.6856418149982346,0.8156656442517083,0.37406869267179466,,,
171,7.0,1.7862862105181683,1.0,5.0,1.0,6.0,1.689894388000539,0.4319712339541907,0.316321413828704,,,
172,8.0,3.2097528687525267,2.0,6.0,0.3999999999999999,6.0,1.7332832100000815,0.2640531777393828,0.2683366846811353,,,
173,8.0,3.4912168803141705,1.0,8.0,1.0,6.0,1.723394813001505,0.7824365294763346,0.44948350693522615,,,
174,6.0,0.8776274134226412,1.0,5.0,1.0,6.0,1.7073233909977716,0.37212414337090505,0.32240796191074444,,,
175,9.0,3.536651933472704,2.0,9.0,1.0,6.0,1.6953765279977233,0.4319712339541907,0.316321413828704,,,
176,8.0,2.8954791148540395,1.0,6.0,0.19999999999999996,6.0,1.7068481579990475,0.3331396605161663,0.32582253169259934,,,
177,10.0,5.082482859509009,1.0,13.0,1.0,6.0,1.7223143679948407,0.4319712339541907,0.316321413828704,,,
178,7.0,1.7905816583637302,1.0,7.0,0.3999999999999999,6.0,1.706889074004721,0.5127885612258857,0.3659054608957251,,,
179,8.0,2.727134002315536,2.0,7.0,1.0,6.0,1.715420765998715,0.4319712339541907,0.316321413828704,,,
180,8.0,2.6816406689891514,1.0,8.0,1.0,6.0,1.686349543997494,0.508274968418074,0.367572856755992,,,
181,7.0,1.7197517695410611,0.0,5.0,1.0,6.0,1.6921112020063447,0.6038401292156474,0.35457417918192935,,,
182,7.0,1.888088508748842,1.0,5.0,1.0,6.0,1.6873858809995,0.37370016803328365,0.32306357070625596,,,
183,7.0,2.1985980580801963,1.0,5.0,0.3999999999999999,6.0,1.6975838409998687,1.0335207267072934,,,,
184,8.0,3.4490588668473654,1.0,7.0,1.0,6.0,1.7086102370012668,0.4319712339541907,0.316321413828704,,,
185,11.0,5.9879131693624235,1.0,13.0,1.0,6.0,1.696068021999963,0.4319712339541907,0.316321413828704,,,
186,10.0,5.329913458567481,2.0,11.0,1.0,6.0,1.683887068000331,0.4319712339541907,0.316321413828704,,,
187,8.0,2.8967609653435904,2.0,7.0,1.0,6.0,1.6881763429992134,0.4319712339541907,0.316321413828704,,,
188,9.0,4.383157667588256,2.0,9.0,1.0,6.0,1.6915146120009013,0.4319712339541907,0.316321413828704,,,
189,8.0,3.0031074688934893,1.0,8.0,0.6,6.0,1.6784624690044438,0.5026905660351908,0.36866410763716373,,,
190,10.0,5.235293897102526,2.0,11.0,1.0,6.0,1.7015912790011498,0.4319712339541907,0.316321413828704,,,
